dpto_pjfs,anio_denuncia,cantidad
LAMBAYEQUE,2019,"26,218"
LAMBAYEQUE,2020,"19,415"
LAMBAYEQUE,2021,"24,619"
LAMBAYEQUE,2022,"34,575"
LAMBAYEQUE,2023,"29,251"
LA LIBERTAD,2011,"9,221"
LA LIBERTAD,2012,"13,413"
LA LIBERTAD,2013,"13,504"
LA LIBERTAD,2014,"18,712"
LA LIBERTAD,2015,"15,628"
LA LIBERTAD,2016,"16,782"
LA LIBERTAD,2017,"21,894"
LA LIBERTAD,2018,"24,283"
LA LIBERTAD,2019,"25,280"
LA LIBERTAD,2020,"17,695"
LA LIBERTAD,2021,"21,854"
LA LIBERTAD,2022,"28,080"
LA LIBERTAD,2023,"22,430"
JUNIN,2011,"7,123"
JUNIN,2012,"8,337"
JUNIN,2013,"9,433"
JUNIN,2014,"8,791"
JUNIN,2015,"7,632"
JUNIN,2016,"9,375"
JUNIN,2017,"11,627"
JUNIN,2018,"15,018"
JUNIN,2019,"16,884"
JUNIN,2020,"12,805"
JUNIN,2021,"18,071"
JUNIN,2022,"21,407"
JUNIN,2023,"16,904"
ICA,2011,"6,308"
ICA,2012,"7,835"
ICA,2013,"9,288"
ICA,2014,"10,107"
ICA,2015,"10,869"
ICA,2016,"13,178"
ICA,2017,"13,772"
ICA,2018,"16,374"
ICA,2019,"18,493"
ICA,2020,"13,485"
ICA,2021,"15,640"
ICA,2022,"17,067"
ICA,2023,"13,715"
HUANUCO,2011,"1,931"
HUANUCO,2012,"2,601"
HUANUCO,2013,"3,157"
HUANUCO,2014,"3,275"
HUANUCO,2015,"3,126"
HUANUCO,2016,"3,162"
HUANUCO,2017,"3,895"
HUANUCO,2018,"6,191"
HUANUCO,2019,"6,739"
HUANUCO,2020,"7,153"
HUANUCO,2021,"9,011"
HUANUCO,2022,"11,738"
HUANUCO,2023,"9,125"
HUANCAVELICA,2011,879
HUANCAVELICA,2012,962
HUANCAVELICA,2013,"1,045"
HUANCAVELICA,2014,"1,917"
HUANCAVELICA,2015,"1,223"
HUANCAVELICA,2016,"1,345"
HUANCAVELICA,2017,"1,483"
HUANCAVELICA,2018,"1,582"
HUANCAVELICA,2019,"1,227"
HUANCAVELICA,2020,"1,440"
HUANCAVELICA,2021,"2,363"
HUANCAVELICA,2022,"2,314"
HUANCAVELICA,2023,"1,404"
CUSCO,2011,"7,145"
CUSCO,2012,"8,542"
CUSCO,2013,"9,830"
CUSCO,2014,"14,328"
CUSCO,2015,"9,271"
CUSCO,2016,"11,783"
CUSCO,2017,"13,728"
CUSCO,2018,"15,819"
CUSCO,2019,"15,771"
CUSCO,2020,"11,818"
CUSCO,2021,"14,801"
CUSCO,2022,"16,231"
CUSCO,2023,"12,607"
CALLAO,2011,"12,749"
CALLAO,2012,"13,233"
CALLAO,2013,"14,631"
CALLAO,2014,"15,765"
CALLAO,2015,"19,328"
CALLAO,2016,"15,385"
CALLAO,2017,"14,948"
CALLAO,2018,"22,048"
CALLAO,2019,"19,266"
CALLAO,2020,"12,676"
CALLAO,2021,"14,648"
CALLAO,2022,"18,603"
CALLAO,2023,"13,960"
CAJAMARCA,2011,"3,775"
CAJAMARCA,2012,"5,223"
CAJAMARCA,2013,"6,820"
CAJAMARCA,2014,"6,100"
CAJAMARCA,2015,"5,847"
CAJAMARCA,2016,"6,440"
CAJAMARCA,2017,"9,453"
CAJAMARCA,2018,"10,856"
CAJAMARCA,2019,"10,196"
CAJAMARCA,2020,"9,703"
CAJAMARCA,2021,"11,900"
CAJAMARCA,2022,"16,903"
CAJAMARCA,2023,"11,146"
AYACUCHO,2011,"3,299"
AYACUCHO,2012,"3,625"
AYACUCHO,2013,"3,989"
AYACUCHO,2014,"4,786"
AYACUCHO,2015,"4,395"
AYACUCHO,2016,"3,131"
AYACUCHO,2017,"4,574"
AYACUCHO,2018,"6,220"
AYACUCHO,2019,"5,572"
AYACUCHO,2020,"4,904"
AYACUCHO,2021,"6,341"
AYACUCHO,2022,"7,967"
AYACUCHO,2023,"6,042"
AREQUIPA,2011,"12,762"
AREQUIPA,2012,"13,556"
AREQUIPA,2013,"14,167"
AREQUIPA,2014,"16,576"
AREQUIPA,2015,"18,017"
AREQUIPA,2016,"19,666"
AREQUIPA,2017,"25,500"
AREQUIPA,2018,"28,112"
AREQUIPA,2019,"24,856"
AREQUIPA,2020,"19,594"
AREQUIPA,2021,"25,087"
AREQUIPA,2022,"32,121"
AREQUIPA,2023,"24,772"
APURIMAC,2011,"1,855"
APURIMAC,2012,"2,412"
APURIMAC,2013,"2,993"
APURIMAC,2014,"2,533"
APURIMAC,2015,"1,601"
APURIMAC,2016,"2,000"
APURIMAC,2017,"2,566"
APURIMAC,2018,"4,549"
APURIMAC,2019,"3,821"
APURIMAC,2020,"3,699"
APURIMAC,2021,"4,618"
APURIMAC,2022,"5,484"
APURIMAC,2023,"2,986"
ANCASH,2011,"6,325"
ANCASH,2012,"7,097"
ANCASH,2013,"7,618"
ANCASH,2014,"8,783"
ANCASH,2015,"9,862"
ANCASH,2016,"10,446"
ANCASH,2017,"11,798"
ANCASH,2018,"13,793"
ANCASH,2019,"16,980"
ANCASH,2020,"12,115"
ANCASH,2021,"14,634"
ANCASH,2022,"15,242"
ANCASH,2023,"11,128"
AMAZONAS,2011,"3,309"
AMAZONAS,2012,"4,037"
AMAZONAS,2013,"4,806"
AMAZONAS,2014,"3,178"
AMAZONAS,2015,"2,395"
AMAZONAS,2016,"3,340"
AMAZONAS,2017,"5,696"
AMAZONAS,2018,"6,222"
AMAZONAS,2019,"6,013"
AMAZONAS,2020,"4,645"
AMAZONAS,2021,"5,241"
AMAZONAS,2022,"6,711"
AMAZONAS,2023,"3,731"
